country,inflation_rate,exports_gdp_share,gdp_growth_rate,gdp_per_capita,adult_literacy_rate,primary_school_enrolment_rate,education_expenditure_gdp_share,measles_immunisation_rate,health_expenditure_gdp_share,income_inequality,unemployment_rate,life_expectancy,total_population
Lao PDR,22.9562225132056,,2.70742652643155,2046.40440255621,87.5199966430664,97.2226134363857,1.46083438396454,76.0,,,1.209,68.999,7559007.0
Latvia,17.3102830198815,77.4694645882954,1.8126824022841,20229.4613617326,,99.41796875,,96.0,,,6.815,74.580487804878,1879383.0
Lebanon,171.205491336641,34.8287792460469,-0.621678970663112,3654.35845534878,,,,67.0,,,11.6,74.416,5744489.0
Lesotho,8.27180389943028,46.5063823361123,2.38778020186284,1029.99553333827,82.0100021362305,88.6117800268315,6.43347549438477,81.0,,,16.688,53.036,2286110.0
Liberia,7.59298486560313,,4.80810517290655,744.617175237387,,67.2317884233233,2.27609586715698,79.0,,,2.977,61.1,5373294.0
Libya,4.51030149235703,91.9809235078212,-8.25163004105288,5986.63694851258,,,,73.0,,,19.282,72.151,7223805.0
Liechtenstein,,,,186400.23376784,,,,,,,,84.319512195122,39493.0
Lithuania,19.7050461518394,86.7798492943433,2.53752500887173,25085.784063499,,101.905830383301,,87.0,7.46,,5.955,75.7926829268293,2831639.0
Luxembourg,6.33600807777919,211.278205574688,1.38018589083207,125006.021815486,,99.484260559082,4.70302200317383,99.0,5.46,,4.588,83.0463414634146,653103.0
"Macao SAR, China",1.04502802369954,84.3901737400991,-19.6093363742205,36909.9564090312,,84.9676666259766,6.18937015533447,,,,2.482,85.377,677300.0
Madagascar,8.16059031991844,30.3776176106912,3.99999999869678,497.242514792961,77.4800033569336,138.19226558666,3.13901996612549,44.0,,,3.186,65.23,30437261.0
Malawi,20.953969729969,,0.921115069005936,604.269751184515,68.0800018310547,126.426255960703,,82.0,,,5.037,62.898,20568728.0
Malaysia,3.37869862549928,76.8501886436659,8.86182187578046,11748.0919307944,96.0,97.7554931318277,3.49933791160583,96.0,,,3.93,76.26,34695493.0
Maldives,2.33314337624567,82.670925635235,13.8260895184139,11786.0091545343,,95.367258247522,4.67344331741333,98.0,,,4.419,80.839,524106.0
Mali,9.62147608489072,31.1765585536895,3.47495171106735,813.965034073188,,,4.03505516052246,73.0,,,2.387,59.417,23072640.0
Malta,6.15375621933037,128.573995440379,4.14788281601133,36142.2058531852,,93.5346603393555,,96.0,,,2.921,82.7,531511.0
Marshall Islands,,40.8176400947119,-1.11806797853311,6322.82855503156,,105.104331970215,7.54093980789185,81.0,,,,65.146,40077.0
Mauritania,9.52526628622843,39.737807822992,6.79600510182286,1960.35240077424,,,2.44024252891541,84.0,,,10.531,64.691,4875637.0
Mauritius,10.7737512242899,55.3430183090158,8.87988519700977,10239.7970461095,,,4.84085988998413,98.0,,,6.322,73.5146341463415,1262523.0
Mexico,7.8962761916855,42.7321338900631,3.68911109348025,11385.4070757929,,102.004783630371,,86.0,,43.5,3.256,74.832,128613117.0
"Micronesia, Fed. Sts.",5.40874375479067,21.0385813953488,-0.778210116731515,3835.38184348074,,91.5278783490224,,69.0,,,,70.925,112114.0
Moldova,28.7372976766235,41.2404935723512,-5.01548231924089,5738.42473515618,,106.97324544397,6.11053991317749,84.0,,,0.897,68.621,2528654.0
Monaco,,,11.0469394271752,226052.001905201,,,1.17324995994568,88.0,,,,,38931.0
Mongolia,15.1479560897226,65.0613511558615,5.0327096366527,4993.51487463495,,95.5634577935822,4.18056726455688,94.0,,31.4,6.211,72.667,3433748.0
Montenegro,13.0403036347004,51.5328616489687,6.40668032879275,10093.4387007266,,105.621368408203,,33.0,,,14.851,76.1878048780488,617213.0
Morocco,6.65704202759067,44.8118007632888,1.52720357976111,3455.39624023438,77.3499984741211,114.169990539551,5.91224670410156,99.0,,,9.494,74.973,37329064.0
Mozambique,10.2794018093421,49.8269428040417,4.36445074535436,578.251663751351,,121.177581787109,6.16198396682739,63.0,,,3.596,59.625,32656246.0
Myanmar,,,4.03749343593624,1158.05005034332,,,,75.0,,,3.057,67.256,53756787.0
Namibia,6.08128114112413,40.3451238515484,5.34966408559102,4349.04532248966,,133.527472902537,9.67791175842285,89.0,,,19.695,58.059,2889662.0
Nauru,,53.6776309627748,3.02263627499464,13287.2711890938,,94.9424133300781,7.80539798736572,98.0,,,,64.014,11801.0
Nepal,7.6507917679853,6.70239086588436,5.63131455871746,1385.91066275016,,118.80395155129,3.61778378486633,90.0,,30.0,10.844,70.484,29715436.0
Netherlands,10.0012078753473,96.4436215813729,5.00723459045037,59123.318556487,,104.215446472168,5.05201101303101,89.0,,,3.526,81.7146341463415,17700982.0
New Caledonia,,,3.49999999631376,33516.363085906,,,,,,,10.71,80.9820731707317,287123.0
New Zealand,7.17222476016441,24.3948255658574,2.7748426484212,48216.5095836302,,96.5572509765625,5.23012018203735,90.0,,,3.297,82.7609756097561,5117200.0
Nicaragua,10.4674244465991,49.846909059172,3.75228475736668,2325.16737851871,,105.435536868371,3.79476308822632,93.0,,,4.961,74.615,6730654.0
Niger,4.22621791916393,8.52377989130102,11.9000000000277,609.745147574878,38.0999984741211,68.331413269043,4.10143089294434,65.0,,,0.418,62.08,25311973.0
Nigeria,18.8471877843274,,3.25168140827093,2139.37478476974,,,0.348516702651978,60.0,,,3.821,53.633,223150896.0
North Macedonia,14.2047173195833,72.785399542204,2.75888415332967,7606.2375253797,,97.4866561889648,,71.0,,,14.476,74.4248780487805,1831712.0
Northern Mariana Islands,,22.2627737226277,16.6427546628408,23785.754590043,,,,,,,,,46078.0
Norway,5.76412317852272,55.4600670265005,3.00563516076298,108798.451165901,,98.9667587280273,3.96801972389221,96.0,8.14,,3.231,82.5609756097561,5457127.0
Oman,2.5061425061425,59.2020891028381,9.5771061309605,23665.6394740852,97.0,90.096809387207,4.19907999038696,97.0,,,3.3,73.935,4730226.0
Pakistan,19.8738599646655,10.5405906471536,4.7781068690358,1538.3228133171,,82.6790063159857,1.97444903850555,82.0,,,5.485,66.431,243700667.0
Palau,12.3526638378124,13.4632250687561,-1.31844903330447,14392.1990258461,,88.271186440678,3.57620143890381,96.0,,,,,17759.0
Panama,2.85965128834711,48.1174394920396,10.769665870619,17332.4360742988,,100.875396728516,3.36693000793457,87.0,,,8.086,76.826,4400773.0
Papua New Guinea,5.25323922215241,,5.70758411822096,3101.71063200047,,,,41.0,,,2.689,65.958,10203169.0
Paraguay,9.76556667164402,34.3693845850532,0.176038366132886,6205.62595379319,,93.2309494018555,3.39619994163513,54.0,,45.1,6.755,70.475,6760464.0
Peru,8.33370630096231,28.9044343292124,2.72550021563363,7363.27206939639,,107.663269042969,3.83315992355347,74.0,,40.3,3.85,73.385,33475438.0
Philippines,5.82115811213955,28.3874015457939,7.58098212785563,3548.06930572116,,91.8715546202869,3.57960081100464,76.0,5.1,,2.598,72.187,113964338.0
Poland,14.4294507575758,62.3525162455456,5.25545697386036,18891.2121169279,,100.594268798828,,91.0,6.68,,2.811,77.3048780487805,36821749.0
Portugal,7.83269124233323,49.4816821962014,6.98584193827881,24620.519556875,,109.846130371094,,98.0,10.62,,6.011,81.5804878048781,10434332.0
Puerto Rico,,52.5807627554435,3.56811024720668,35268.0791015719,,,,,,,6.0,79.72,3220113.0
Qatar,4.99527553740761,68.5984131756121,4.18500971344966,88701.463350036,,94.9849319458008,,99.0,,,0.13,81.559,2657333.0
Romania,13.7954887432521,43.3611500953615,3.96530766311717,15557.8826247584,,84.8812789916992,,83.0,,,5.614,75.3048780487805,19048502.0
Russian Federation,,28.0257191670312,-2.06971152527731,15445.2421875,,101.136070251465,4.05402755737305,97.0,,,3.867,72.5456097560976,144236933.0
Rwanda,17.6892095588153,22.4780616958951,8.15773308481241,975.469315871749,79.0,148.752487182617,4.74623012542725,99.0,,,15.084,67.129,13651030.0
Samoa,10.9618822286844,12.2663826209512,-5.30629089966979,3869.46639492144,,104.122587299249,4.88079118728638,82.0,,,5.048,72.598,215261.0
San Marino,,197.412351319317,7.89844145767604,54264.570495898,100.0,93.9375,3.43181848526001,91.0,,,,,33755.0
Sao Tome and Principe,18.0056351122841,,0.168698492216564,2389.73729784737,93.75,,5.15598058700562,82.0,,,8.992,68.794,226305.0
Saudi Arabia,2.4740737192537,40.221276968341,7.48598429134137,34454.1957708412,,102.705947875977,,98.0,,,5.589,77.905,32175224.0
Senegal,9.69681899081073,26.857557599241,3.82586363675534,1564.74522071584,57.6699981689453,83.2787017822266,5.98753976821899,76.0,,,2.837,67.913,17651103.0
Serbia,11.9815117344703,60.7493785262136,2.63098644408841,10022.9688543402,,98.8989791870117,3.23938989639282,81.0,,,8.439,75.4821951219512,6664449.0
Seychelles,2.6260363285129,88.3864980757065,14.9768513322959,17167.1909760833,,97.7654800415039,4.74013519287109,98.0,,,,73.8487804878049,119878.0
Sierra Leone,27.2082883814653,16.7851638614949,5.3135546141915,860.130884035452,48.6399993896484,156.801918077513,8.5391845703125,90.0,,,3.175,60.411,8276807.0
Singapore,6.12106004039418,185.757032866998,3.83807678519807,88428.7024226232,,99.5780410766602,2.48891997337341,96.0,,,3.591,82.8951219512195,5637022.0
Sint Maarten (Dutch part),,,9.80000111145777,36476.6300833859,,,4.18044137954712,,,,,74.409,42139.0
Slovak Republic,12.7741463637611,98.952236338947,0.449673875081572,21342.7666714692,,100.326721191406,,95.0,,,6.143,77.0658536585366,5431752.0
Slovenia,8.83369886749452,93.9826603175574,2.69923755687375,28373.8382265999,,100.639137268066,,96.0,8.85,,4.011,81.2829268292683,2112076.0
Solomon Islands,5.51812928576938,26.2867431210615,2.40248143622522,2005.4139933198,,,8.48737812042236,90.0,,,1.483,70.742,781066.0
Somalia,,17.6819185644467,2.72711429582988,573.128092470162,54.0,,,46.0,,,19.05,56.107,17801897.0
South Africa,7.03972661255866,33.3714495540545,1.91147996033504,6523.41097815853,,96.1027221679688,6.16726016998291,86.0,,,33.268,61.48,62378410.0
South Sudan,-6.68732094212672,,,,,,,72.0,,,12.545,55.567,11021177.0
Spain,8.39057634118627,39.7551303881907,6.17931222572963,30287.3657583614,,102.445991516113,4.31587886810303,96.0,,,12.917,83.0829268292683,47759127.0
Sri Lanka,49.7211021114327,21.5590230179656,-7.34679123599076,3342.71989646203,92.0,95.9158628635578,1.20397222042084,99.0,,,4.528,76.61,22181000.0
St. Kitts and Nevis,2.66817533111249,,10.5228492759939,21011.5744209816,,,3.63147068023682,95.0,,,,72.027,46709.0
St. Lucia,6.37814695133351,,20.3867675749845,13103.7621654634,,103.664779663086,3.69847011566162,81.0,,,15.934,71.294,178781.0
St. Martin (French part),,,,,,,,,,,,80.55,28870.0
St. Vincent and the Grenadines,5.66009779226552,,7.1598328657349,9471.14627317673,,110.587085886846,7.20952939987183,99.0,,,19.417,68.972,102046.0
Sudan,138.80846024176,1.57116183055586,-0.957816591119183,1046.24084472656,,,,66.0,,,7.53,65.578,49383346.0
Suriname,52.446027276241,,2.40622235601218,6084.43876736445,,,3.43460845947266,74.0,,39.2,8.16,70.289,623164.0
Sweden,8.36929098869189,53.8802781349213,1.45928850757269,55296.9371472535,,116.425392150879,,92.0,10.67,,7.392,83.109756097561,10486941.0
Switzerland,2.83502798644463,76.9356153921115,2.56832817834069,93245.7952120851,,101.363067626953,4.88824462890625,96.0,,,4.122,83.4536585365854,8777088.0
Syrian Arab Republic,,6.81012687776418,0.732781301861365,1051.67149587463,,74.367431640625,,52.0,,26.6,13.268,72.3,22462173.0
Tajikistan,,16.3531240454317,8.00000033846364,1052.17949484894,,101.345203671337,5.71509790420532,98.0,,,11.634,71.288,10182222.0
Tanzania,4.35027204269101,15.4137105201683,4.56600576430955,1207.85302734375,82.0199966430664,88.2558784495081,3.23824501037598,89.0,,,2.588,66.782,64711821.0
Thailand,6.07741228434321,65.3629024949052,2.46276934050356,6909.35997481451,91.0998687744141,105.101107091175,2.61187028884888,93.0,,,0.94,79.68,71735329.0
Timor-Leste,7.00530945399784,55.6120531298132,-20.584244040573,2343.24524664152,,120.849599035731,,72.0,,,1.537,69.056,1369295.0
Togo,7.96757361617945,25.5991710804409,5.75954251521733,898.758154410712,,122.478256225586,3.79811930656433,71.0,,,1.965,61.588,9089738.0
Tonga,10.9713652903022,11.5596410093967,-2.30986002720401,4933.07479143113,,106.535737282679,5.64619207382202,99.0,,,2.302,71.27,105042.0
Trinidad and Tobago,5.82838638517959,,1.48223484044745,22004.1997884125,,,2.87970423698425,92.0,,,4.383,74.708,1365805.0
Tunisia,8.30646124447623,50.4191359795168,2.67331821840567,3678.40023411347,85.2149276733398,103.912643432617,6.8049898147583,95.0,,,15.3,74.263,12119334.0
Turkiye,72.3088359891207,38.5842021809785,5.53342787492781,10674.504157865,,102.487701416016,2.61430358886719,95.0,,,10.465,78.475,84979913.0
Turkmenistan,,24.8763820118022,6.19999993621698,8156.35211950774,,110.284736633301,3.73386001586914,98.0,,,4.109,69.41,7230193.0
Turks and Caicos Islands,,,6.19999948551566,26802.0673752091,,122.33812713623,4.10991382598877,,,,,74.925,45847.0
Tuvalu,,,0.677309361438304,5911.32727055301,,98.4408187866211,,90.0,,,,64.854,9992.0
Uganda,7.1957888597581,12.0219954333331,4.58802192181773,963.067314117178,80.5899963378906,,2.56105017662048,92.0,,,2.886,63.638,47312719.0
Ukraine,20.1836366617478,35.4451153382041,-28.7585842132117,4199.6708984375,,92.7711634493634,5.93389987945557,74.0,,,,68.5879268292683,41048766.0
United Arab Emirates,5.29122604376849,103.812252334383,7.50969703221836,49899.0652978649,98.0,,,98.0,,,2.872,79.196,10074977.0
United Kingdom,7.92204883147902,33.5671944737788,4.83908514714403,45935.9276473925,,102.406127929688,4.95917558670044,90.0,11.34454918,,3.73,82.0585365853659,67791000.0
United States,8.00279982052121,11.6022279170372,2.51237531983308,78035.1753604212,,96.9717330932617,,92.0,16.57115173,41.3,3.65,77.4341463414634,333271411.0
Uruguay,9.10437983075437,31.9521648717584,4.70725761465232,20691.9738991763,99.0,108.822761535645,4.5073299407959,96.0,,40.6,7.877,78.0,3390913.0
Uzbekistan,11.4466436998834,24.3321763426068,6.00134232206508,2578.66689394219,100.0,93.9099780290139,5.23477172851562,99.0,,31.2,4.49,71.674,34938955.0
Vanuatu,6.67930581887121,15.3048330605426,1.9160570121628,3265.39645133096,,110.520745546126,10.7033452987671,70.0,,,5.143,70.492,313046.0
"Venezuela, RB",,,,,97.5999984741211,,,52.0,,,5.707,71.105,28213017.0
Viet Nam,3.15650749963129,93.8116384128291,8.12351446767343,4116.38576094153,96.0,123.133723768475,2.88738679885864,88.0,,36.1,1.523,74.58,99680655.0
Virgin Islands (U.S.),,97.3672945205479,-1.31123206333498,44320.909185774,,,,,,,13.007,80.319512195122,105413.0
West Bank and Gaza,3.74122391852077,18.4362526414651,4.08276027347105,3799.95527015163,98.0,91.7645874023438,,97.0,,,24.42,73.444,5043612.0
"Yemen, Rep.",,,,615.70207931388,,,,53.0,,,17.363,63.72,38222876.0
Zambia,10.9932039209136,40.1939977114306,5.21122360356247,1447.12310138035,,,3.58259510993958,90.0,,51.5,5.995,61.803,20152938.0
Zimbabwe,104.705170628667,27.8721706935875,6.13926326513234,2040.55245910726,89.8499984741211,95.789907037216,,90.0,,,10.087,59.391,16069056.0
